# merge_scores mode=fair doms=ja,code,en weights=ja=1,code=1,en=1
# layer	expert	score	hits	mean
4	66	71.000000	0	0.000000
4	16	70.000000	0	0.000000
4	67	69.000000	0	0.000000
4	73	68.000000	0	0.000000
4	97	67.000000	0	0.000000
4	2	66.000000	0	0.000000
4	52	65.000000	0	0.000000
4	115	64.000000	0	0.000000
4	83	63.000000	0	0.000000
4	17	62.000000	0	0.000000
4	101	61.000000	0	0.000000
4	62	60.000000	0	0.000000
4	56	59.000000	0	0.000000
4	92	58.000000	0	0.000000
4	6	57.000000	0	0.000000
4	38	56.000000	0	0.000000
4	30	55.000000	0	0.000000
4	98	54.000000	0	0.000000
4	33	53.000000	0	0.000000
4	105	52.000000	0	0.000000
4	71	51.000000	0	0.000000
4	23	50.000000	0	0.000000
4	68	49.000000	0	0.000000
4	14	48.000000	0	0.000000
4	117	47.000000	0	0.000000
4	45	46.000000	0	0.000000
4	9	45.000000	0	0.000000
4	86	44.000000	0	0.000000
4	119	43.000000	0	0.000000
4	88	42.000000	0	0.000000
4	64	41.000000	0	0.000000
4	31	40.000000	0	0.000000
4	34	39.000000	0	0.000000
4	122	38.000000	0	0.000000
4	69	37.000000	0	0.000000
4	20	36.000000	0	0.000000
4	43	35.000000	0	0.000000
4	90	34.000000	0	0.000000
4	15	33.000000	0	0.000000
4	120	32.000000	0	0.000000
4	127	31.000000	0	0.000000
4	93	30.000000	0	0.000000
4	53	29.000000	0	0.000000
4	72	28.000000	0	0.000000
4	58	27.000000	0	0.000000
4	114	26.000000	0	0.000000
4	19	25.000000	0	0.000000
4	44	24.000000	0	0.000000
4	112	23.000000	0	0.000000
4	28	22.000000	0	0.000000
4	107	21.000000	0	0.000000
4	110	20.000000	0	0.000000
4	42	19.000000	0	0.000000
4	59	18.000000	0	0.000000
4	55	17.000000	0	0.000000
4	13	16.000000	0	0.000000
4	89	15.000000	0	0.000000
4	65	14.000000	0	0.000000
4	108	13.000000	0	0.000000
4	95	12.000000	0	0.000000
4	8	11.000000	0	0.000000
4	61	10.000000	0	0.000000
4	24	9.000000	0	0.000000
4	12	8.000000	0	0.000000
4	100	7.000000	0	0.000000
4	124	6.000000	0	0.000000
4	26	5.000000	0	0.000000
4	41	4.000000	0	0.000000
4	121	3.000000	0	0.000000
4	109	2.000000	0	0.000000
4	80	1.000000	0	0.000000
5	12	128.000000	0	0.000000
5	31	127.000000	0	0.000000
5	55	126.000000	0	0.000000
5	127	125.000000	0	0.000000
5	2	124.000000	0	0.000000
5	79	123.000000	0	0.000000
5	3	122.000000	0	0.000000
5	99	121.000000	0	0.000000
5	92	120.000000	0	0.000000
5	11	119.000000	0	0.000000
5	97	118.000000	0	0.000000
5	57	117.000000	0	0.000000
5	71	116.000000	0	0.000000
5	33	115.000000	0	0.000000
5	111	114.000000	0	0.000000
5	77	113.000000	0	0.000000
5	90	112.000000	0	0.000000
5	121	111.000000	0	0.000000
5	112	110.000000	0	0.000000
5	5	109.000000	0	0.000000
5	89	108.000000	0	0.000000
5	105	107.000000	0	0.000000
5	28	106.000000	0	0.000000
5	60	105.000000	0	0.000000
5	75	104.000000	0	0.000000
5	56	103.000000	0	0.000000
5	80	102.000000	0	0.000000
5	26	101.000000	0	0.000000
5	115	100.000000	0	0.000000
5	48	99.000000	0	0.000000
5	47	98.000000	0	0.000000
5	122	97.000000	0	0.000000
5	40	96.000000	0	0.000000
5	30	95.000000	0	0.000000
5	16	94.000000	0	0.000000
5	14	93.000000	0	0.000000
5	54	92.000000	0	0.000000
5	42	91.000000	0	0.000000
5	70	90.000000	0	0.000000
5	51	89.000000	0	0.000000
5	38	88.000000	0	0.000000
5	125	87.000000	0	0.000000
5	93	86.000000	0	0.000000
5	98	85.000000	0	0.000000
5	85	84.000000	0	0.000000
5	107	83.000000	0	0.000000
5	110	82.000000	0	0.000000
5	22	81.000000	0	0.000000
5	27	80.000000	0	0.000000
5	13	79.000000	0	0.000000
5	78	78.000000	0	0.000000
5	0	77.000000	0	0.000000
5	96	76.000000	0	0.000000
5	126	75.000000	0	0.000000
5	35	74.000000	0	0.000000
5	18	73.000000	0	0.000000
5	108	72.000000	0	0.000000
5	10	71.000000	0	0.000000
5	66	70.000000	0	0.000000
5	103	69.000000	0	0.000000
5	119	68.000000	0	0.000000
5	1	67.000000	0	0.000000
5	87	66.000000	0	0.000000
5	116	65.000000	0	0.000000
5	43	64.000000	0	0.000000
5	34	63.000000	0	0.000000
5	41	62.000000	0	0.000000
5	63	61.000000	0	0.000000
5	25	60.000000	0	0.000000
5	61	59.000000	0	0.000000
5	58	58.000000	0	0.000000
5	64	57.000000	0	0.000000
5	102	56.000000	0	0.000000
5	37	55.000000	0	0.000000
5	49	54.000000	0	0.000000
5	50	53.000000	0	0.000000
5	6	52.000000	0	0.000000
